PROJETO-ID,PROJETO
346,1521 - CV - CELESTICA/FCPC-ANTENAS-PT 03
347,1522 - CT - UFC/FCPC - CONEXOES DE SABERES NA UFC
348,1523 - CT - CFN/FCPC/PRESTACAO DE SERVICOS - 102
349,1524 - CV -  BNB/FCPC/IMPACTOS DAS ATIV.CRIMINOSA
350,1525 - FCPC / OBRA DETI
351,1528 - CT - FCPC/UFC/CURSO ETI-2005
352,1530 - CT - UFC/FCPC/PROGRAMA NACIONAL DO LIVRO
353,1532 - CARTA/FCPC/PROJETO PARQUE JERICOACOARA
354,1533 - CV - FUNCET/FCPC/I CONFERENCIA MUNICIPAL
355,1534 - CT - FCPC/LACT-LABORATORIO DE ANALISES CLINICAS E TOXICOLOGICAS
356,1535 - CV - PRONERA/INCRA/FCPC/EDUCACAO NO CAMPO
357,1536 - CT - CPRM/FCPC/LEVANTAMENTO GEOFISICO
358,1539 - CT - FCPC/RNP/REDECOMEP
359,1540 - CARTA FCPC/TAXA GTEL
360,1541 - CT CEARAPORTOS/FCPC-PROJETO DE MODELAGEM
361,1542 - CV - FLEXTRONICS PT II
362,1543 - CT - FCPC/UFC/CURSO DE ESP.ANAL.CLINICAS
363,1544 - CV -  SDE/FCPC/JOVEM  AMBIENTALISTA
364,1545 - CV - SDE/FCPC/GERACAO DE TRABALHOS
365,1546 - CARTA/FCPC/PROJETO SOFIA
366,1547 - CT -  UFC/FCPC - RIVED
367,1548 - CV - FINEP/TRATAMENTO DE CANCER
368,1549 - CT - UFC/FCPC-EAD TV ESCOLA
369,1551 - CT - UFC/FCPC/CURSO DE ESP.EM QUIMICA
370,1553
371,1554 - CV - BNB/FCPC- A TEC. A SERV. DA EDUCACAO.
372,1555 - CV. BNB/FCPC/COLECAO BNB/UFC
373,1556 - CV - BNB/ASSENTAMENTO  DE  REFORMA AGRARIA
374,1557 - CV - INST.ATLANT.FCPC PT 09
375,1558 - FCPC / CCV-06 - PROJETO DE ENSINO
376,1559 - CT - PETROBRAS/FCPC/SERVICOS DE COLETA
377,1560 - CV - FINEP/FCPC/CAMARAO BRANCO
378,1561 - CV - FINEP/FCPC/ESTUDOS FARMACOLOGICOS
379,1562 - CT - SEAGRI/FCPC-UTE
380,1563 - CV - SEAGRI/FCPC/CAPACITACAO
381,1565 - CV - SEAGRI/FCPC/FARMACIA VIVAS
382,1566 - CV - SEAGRI/FCPC/CAPRINO-OVINO
383,1567 - CT - UFC/FCPC/TAXA DE BANCADA - 2006
384,1568 - CT - UFC/FCPC/MODERNIZACAO TV ESCOLA
385,1569 - CT - UFC/FCPC/DEFICIENCIA MENTAL CURSO DE
386,1570 - CT PETROBRAS/FCPC-PROJETO DESSALINIZADOR HIBRIDO SOLAR E GAS NATURAL
387,1571 - CARTA/TAXA - DESSALINIZADOR HIDRICO
388,1574 - CV -  SEDAS/FCPC/HORTAS ESCOLARES
389,1575 - CV - SDE/FCPC/HORTAS ESCOLARES
390,1579 - CV - SEDAS/FCPC/UNIESCOLA
391,1580 - CT - DEC/ME/FCPC-IMPACTO AMBIENTAL
392,1581 - CT - UFC/FCPC/CURSO DE ESP.EM GEOGRAFIA
393,1582 - CV - SEDAS/FCPC/INFORMATICA EDUCATIVA
394,1583 - CT - UFC/FCPC/CURSO DE ESPEC.EM FISICA
395,1584 - CT - PETROBRAS/FCPC/OLEO DE MAMONA
396,1585 - CT - SMS/FCPC/MEDICAMENTOS FITOTERAPICOS - FARMACIA VIVA
397,1586 - CT - UFC/FCPC - IMPLANTACAO DO CAMPUS DO CARIRI
398,1587 - CT - FCPC/PM/DEFESA SOCIAL NO M.MARACANAU
399,1588 - CT - PMF/FCPC/RESIDENCIA MEDICA
400,1589 - CT - IICA/FCPC/SERVICOS DE CONSULTORIA
401,1590 - CT - UFC/FCPC/C.CULTURA-TESTE DE NIVEL
402,1591 - CV - FCPC/BENCHMARK PT 02-COOP.TECNICA
403,1592 - CT UFC/FCPC-CURSO ESP.HEMATOLOGIA/06
